OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	taxonomy
OTU37	259	100	144	0	0	4	187	193	168	0	7	8	82%|Hypocreales_sp|SH196671.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Hypocreales_unidentified;g_Hypocreales_unidentified_1
OTU38	9	1	21	0	0	0	5	0	4	419	238	333	42%|Ascomycota_sp|SH234938.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU39	188	344	432	0	0	0	205	69	99	0	0	46	25%|Trichocladium_asperum|SH234966.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Chaetomiaceae;g_Trichocladium
OTU40	31	18	13	0	0	0	89	194	90	191	239	116	55%|Cercophora_ambigua|SH234974.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Lasiosphaeriaceae;g_Cercophora
OTU41	148	340	353	1	0	0	50	37	38	0	0	28	100%|Zopfiella_marina|SH234927.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Lasiosphaeriaceae;g_Zopfiella
OTU42	195	192	163	0	0	0	347	619	294	53	0	0	99%|Myrmecridium_schulzeri|SH189850.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Incertae_sedis_7;f_Incertae_sedis_31;g_Myrmecridium
OTU43	257	292	277	0	0	0	27	19	28	17	38	48	23%|Trichocomaceae_sp|SH201051.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Trichocomaceae;g_Trichocomaceae_unidentified
OTU44	151	99	170	14	26	45	56	83	50	211	247	342	70%|Ascomycota_sp|SH221644.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU45	68	16	22	11	13	9	3	9	0	222	267	222	91%|Chaetothyriales_sp|SH209756.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetothyriales;f_Chaetothyriales_unidentified;g_Chaetothyriales_unidentified_1
OTU46	86	49	22	0	0	0	189	120	113	277	82	253	100%|Staphylotrichum_sp|SH234948.06FUk_Fungi;p_Ascomycota;c_Incertae_sedis_14;o_Incertae_sedis_15;f_Incertae_sedis_16;g_Staphylotrichum
OTU47	148	332	275	0	0	0	0	0	4	0	0	0	37%|Fungi_sp|SH241018.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU48	0	0	0	0	0	1	0	0	0	275	168	270	82%|Xylariales_sp|SH219144.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Xylariales;f_Xylariales_unidentified;g_Xylariales_unidentified_1
OTU49	124	125	117	23	0	23	206	98	80	80	0	97	100%|Sordariomycetes_sp|SH233630.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU50	2	0	0	53	55	257	0	0	0	157	160	72	88%|Malassezia_restricta|SH206219.06FUk_Fungi;p_Basidiomycota;c_Incertae_sedis_4;o_Malasseziales;f_Incertae_sedis_5;g_Malassezia
OTU51	8	10	0	81	269	17	7	23	12	68	110	69	6%|Synchytrium_endobioticum|SH234051.06FUk_Fungi;p_Chytridiomycota;c_Chytridiomycetes;o_Chytridiales;f_Synchytriaceae;g_Synchytrium
OTU52	7	0	0	46	78	69	0	0	0	410	47	0	4%|Olpidium_bornovanus|SH229162.06FUk_Fungi;p_Chytridiomycota;c_Chytridiomycetes;o_Olpidiales;f_Olpidiaceae;g_Olpidium
OTU53	90	55	76	0	0	0	118	226	92	0	0	0	31%|Fungi_sp|SH226967.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU54	178	115	203	0	0	0	43	21	7	10	51	66	16%|Nectriaceae_sp|SH217357.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_Nectriaceae_unidentified
OTU55	0	0	0	46	202	175	0	0	0	153	50	156	100%|Ascomycota_sp|SH238938.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU56	187	288	370	0	0	0	153	62	75	0	0	0	99%|Sordariomycetes_sp|SH233630.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU57	4	7	0	13	25	0	7	24	29	140	132	165	100%|Cryptococcus_podzolicus|SH197001.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Incertae_sedis_12;g_Cryptococcus_1
OTU58	8	2	8	5	1	0	1	497	3	6	0	10	85%|Davidiella_tassiana|SH196750.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Capnodiales;f_Davidiellaceae;g_Davidiella
OTU59	0	0	0	42	156	111	0	0	0	59	0	129	100%|Tilletiopsis_sp_DY115_21_11_M4|SH228399.06FUk_Fungi;p_Basidiomycota;c_Exobasidiomycetes;o_Incertae_sedis_44;f_Incertae_sedis_45;g_Tilletiopsis
OTU60	139	197	158	1	0	0	2	0	0	9	0	0	3%|Basidiomycota_sp|SH217991.06FUk_Fungi;p_Basidiomycota;c_Basidiomycota_unidentified;o_Basidiomycota_unidentified_1;f_Basidiomycota_unidentified_1;g_Basidiomycota_unidentified_1_1
OTU61	285	103	112	0	0	0	3	1	1	0	0	0	13%|Chytridiomycota_sp|SH233268.06FUk_Fungi;p_Chytridiomycota;c_Chytridiomycota_unidentified;o_Chytridiomycota_unidentified_1;f_Chytridiomycota_unidentified_1;g_Chytridiomycota_unidentified_1_1
OTU62	0	0	0	133	229	96	0	0	0	5	0	34	4%|Pulchromyces_fimicola|SH227367.06FUk_Fungi;p_Ascomycota;c_Incertae_sedis_14;o_Incertae_sedis_15;f_Incertae_sedis_16;g_Pulchromyces
OTU63	49	287	153	0	0	0	9	0	0	0	0	0	5%|Septoglomus_fuscum|SH228098.06FUk_Fungi;p_Glomeromycota;c_Glomeromycetes;o_Glomerales;f_Glomeraceae;g_Septoglomus
OTU64	8	0	0	91	118	0	2	0	0	97	36	129	81%|Phoma_brasiliensis|SH202145.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Incertae_sedis_13;g_Phoma
OTU65	39	41	26	0	33	18	45	51	21	62	92	99	100%|Curvularia_sp_LH3|SH224856.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Pleosporaceae;g_Curvularia
